seed,strategy,model,threshold_mode,features,train_sources,test_source,accuracy,precision_weighted,recall_weighted,f1_weighted,recall_very_high,precision_very_high,f1_very_high
46,rule,naive_bayes,youden,ctx,kaggle+stanford_msa,mother_jones,0.28662420382165604,0.111938182616856,0.28662420382165604,0.1505269330867749,0.0,0.0,0.0
46,rule,naive_bayes,youden,ctx,kaggle+mother_jones,stanford_msa,0.1317365269461078,0.8217635242335842,0.1317365269461078,0.16000389246723698,0.7333333333333333,0.04700854700854701,0.08835341365461848
46,rule,naive_bayes,youden_val,ctx,mother_jones+stanford_msa,kaggle,0.3396825396825397,0.7498085240644544,0.3396825396825397,0.4239670486673454,0.5789473684210527,0.08396946564885496,0.14666666666666667
46,rule,naive_bayes,youden_val,ctx,kaggle+stanford_msa,mother_jones,0.09554140127388536,0.029554140127388533,0.09554140127388536,0.02502360153439849,1.0,0.09333333333333334,0.17073170731707318
46,rule,naive_bayes,youden_val,ctx,kaggle+mother_jones,stanford_msa,0.4251497005988024,0.8208141721405892,0.4251497005988024,0.534678738634352,0.0,0.0,0.0
46,rule,decision_tree,default,full,mother_jones+stanford_msa,kaggle,0.6285714285714286,0.6766134658991801,0.6285714285714286,0.6436569875739383,0.47368421052631576,0.125,0.1978021978021978
46,rule,decision_tree,default,full,kaggle+stanford_msa,mother_jones,0.42038216560509556,0.4806478710129916,0.42038216560509556,0.3924557819711732,0.0,0.0,0.0
46,rule,decision_tree,default,full,kaggle+mother_jones,stanford_msa,0.6676646706586826,0.7743824507139926,0.6676646706586826,0.7079072670199992,0.5333333333333333,0.12903225806451613,0.2077922077922078
46,rule,decision_tree,youden,full,mother_jones+stanford_msa,kaggle,0.3111111111111111,0.7799111659315741,0.3111111111111111,0.37756941274684674,0.47368421052631576,0.125,0.1978021978021978
46,rule,decision_tree,youden,full,kaggle+stanford_msa,mother_jones,0.1464968152866242,0.03354357620009321,0.1464968152866242,0.05448603258665521,0.42857142857142855,0.08,0.1348314606741573
46,rule,decision_tree,youden,full,kaggle+mother_jones,stanford_msa,0.3562874251497006,0.8442582105790085,0.3562874251497006,0.4296547528774967,0.5333333333333333,0.12903225806451613,0.2077922077922078
46,rule,decision_tree,youden_val,full,mother_jones+stanford_msa,kaggle,0.33015873015873015,0.7652457288401989,0.33015873015873015,0.37521973627707056,0.0,0.0,0.0
46,rule,decision_tree,youden_val,full,kaggle+stanford_msa,mother_jones,0.14012738853503184,0.032296925375481636,0.14012738853503184,0.052383911546525726,0.42857142857142855,0.08,0.1348314606741573
46,rule,decision_tree,youden_val,full,kaggle+mother_jones,stanford_msa,0.5778443113772455,0.757117577000223,0.5778443113772455,0.6397504686675282,0.2,0.0625,0.09523809523809523
46,rule,multinomial_lr,default,full,mother_jones+stanford_msa,kaggle,0.5619047619047619,0.7612662224142198,0.5619047619047619,0.6281043886006484,0.47368421052631576,0.15517241379310345,0.23376623376623376
46,rule,multinomial_lr,default,full,kaggle+stanford_msa,mother_jones,0.2802547770700637,0.4201621924990677,0.2802547770700637,0.23392880960822962,0.5,0.18421052631578946,0.2692307692307692
46,rule,multinomial_lr,default,full,kaggle+mother_jones,stanford_msa,0.6467065868263473,0.7442862721761446,0.6467065868263473,0.6829053518254126,0.06666666666666667,0.07142857142857142,0.06896551724137931
46,rule,multinomial_lr,youden,full,mother_jones+stanford_msa,kaggle,0.5682539682539682,0.7449181360859622,0.5682539682539682,0.6321845201157407,0.3684210526315789,0.1590909090909091,0.2222222222222222
46,rule,multinomial_lr,youden,full,kaggle+stanford_msa,mother_jones,0.2929936305732484,0.4900893322116733,0.2929936305732484,0.2987566826189687,0.6428571428571429,0.16981132075471697,0.26865671641791045
46,rule,multinomial_lr,youden,full,kaggle+mother_jones,stanford_msa,0.4820359281437126,0.8350637057087803,0.4820359281437126,0.581465903895189,0.3333333333333333,0.07936507936507936,0.1282051282051282
46,rule,multinomial_lr,youden_val,full,mother_jones+stanford_msa,kaggle,0.48253968253968255,0.783976592513178,0.48253968253968255,0.5516882741258701,0.5789473684210527,0.13414634146341464,0.21782178217821782
46,rule,multinomial_lr,youden_val,full,kaggle+stanford_msa,mother_jones,0.2611464968152866,0.3665762238261301,0.2611464968152866,0.17486782621765892,0.5714285714285714,0.20512820512820512,0.3018867924528302
46,rule,multinomial_lr,youden_val,full,kaggle+mother_jones,stanford_msa,0.6676646706586826,0.7631620816338338,0.6676646706586825,0.7050473165558631,0.0,0.0,0.0
46,rule,naive_bayes,default,full,mother_jones+stanford_msa,kaggle,0.1873015873015873,0.763277872149211,0.1873015873015873,0.23059163059163057,0.7368421052631579,0.0660377358490566,0.12121212121212122
46,rule,naive_bayes,default,full,kaggle+stanford_msa,mother_jones,0.10828025477707007,0.110970208759643,0.10828025477707007,0.06624610164670507,0.7857142857142857,0.09243697478991597,0.16541353383458646
46,rule,naive_bayes,default,full,kaggle+mother_jones,stanford_msa,0.1317365269461078,0.8232928083227484,0.1317365269461078,0.15967965678660567,1.0,0.050505050505050504,0.09615384615384616
46,rule,naive_bayes,youden,full,mother_jones+stanford_msa,kaggle,0.43174603174603177,0.7756434400502197,0.43174603174603177,0.5249401597920376,0.15789473684210525,0.14285714285714285,0.15
46,rule,naive_bayes,youden,full,kaggle+stanford_msa,mother_jones,0.1910828025477707,0.4145984070735959,0.1910828025477707,0.15836771525831234,0.42857142857142855,0.13953488372093023,0.21052631578947367
46,rule,naive_bayes,youden,full,kaggle+mother_jones,stanford_msa,0.33532934131736525,0.8227676916336184,0.3353293413173653,0.43498096357700766,0.6,0.057692307692307696,0.10526315789473684
46,rule,naive_bayes,youden_val,full,mother_jones+stanford_msa,kaggle,0.346031746031746,0.8102977427090903,0.346031746031746,0.43299547032758423,0.3684210526315789,0.0707070707070707,0.11864406779661017
46,rule,naive_bayes,youden_val,full,kaggle+stanford_msa,mother_jones,0.10828025477707007,0.09965371209282788,0.10828025477707007,0.06550998412406607,0.7857142857142857,0.09243697478991597,0.16541353383458646
46,rule,naive_bayes,youden_val,full,kaggle+mother_jones,stanford_msa,0.5059880239520959,0.8205023956561152,0.5059880239520959,0.5949127843510577,0.0,0.0,0.0
46,std,decision_tree,default,ctx,mother_jones+stanford_msa,kaggle,0.42857142857142855,0.9127374575758309,0.42857142857142855,0.5543170823316294,0.7272727272727273,0.058394160583941604,0.10810810810810811
46,std,decision_tree,default,ctx,kaggle+stanford_msa,mother_jones,0.12101910828025478,0.04501454414939494,0.12101910828025478,0.06062836369920505,0.4782608695652174,0.2682926829268293,0.34375
